term,category,Quality_Defect_proj,Complexity_Simplicity_proj,Balance_Imbalance_proj,Natural_Artificial_proj
apple,fruit,-0.2809,-0.5191,0.0666,-0.1446
apricot,fruit,-0.2104,0.4466,0.2758,0.0392
banana,fruit,-0.1085,0.1272,0.0179,-0.219
cherry,fruit,-0.0944,-0.1566,-0.2458,-0.128
citrus,fruit,0.358,0.0639,0.415,0.0243
citrus_fruit,fruit,0.6539,0.566,0.9056,-0.011
grapefruit,fruit,0.2554,-0.3122,0.2594,-0.2336
honey,fruit,0.1928,0.2803,0.4918,0.3558
lemon,fruit,0.093,-0.5786,0.2571,-0.1708
lemon_peel,fruit,0.4248,0.0705,0.6531,-0.0195
lemon_zest,fruit,0.2286,-0.2789,0.2099,-0.1789
lime,fruit,0.443,-0.2283,0.3792,-0.0775
lychee,fruit,0.2864,0.3118,0.5985,-0.0867
mango,fruit,0.0832,0.5207,0.2627,-0.3567
marmalade,fruit,0.2564,0.0346,0.213,0.2051
orange,fruit,0.002,0.1555,0.1031,0.0101
orange_peel,fruit,-0.0095,0.4653,0.0523,-0.2805
orchard_fruit,fruit,-0.1871,0.0133,0.5881,-0.0214
passion_fruit,fruit,0.1631,0.4189,0.4301,-0.4373
peach,fruit,0.0494,-0.1887,0.2307,-0.1441
pear,fruit,-0.4042,-0.3189,0.0661,-0.1862
pineapple,fruit,-0.3216,-0.0404,-0.0055,-0.6108
plum,fruit,-0.0234,0.063,0.0172,0.0039
stone_fruit,fruit,0.5222,-0.1648,0.6521,-0.0719
tropical_fruit,fruit,0.2356,0.8259,0.4622,-0.1933
blossom,floral,0.2347,0.1955,0.6223,0.1613
floral,floral,-0.1225,0.5388,0.6535,0.119
flower,floral,0.3974,0.1268,0.774,0.2716
heather,floral,0.5495,0.34,0.7003,0.573
honeysuckle,floral,0.1954,0.1617,0.4508,0.1638
jasmine,floral,0.3841,0.5555,0.3677,-0.2047
lavender,floral,-0.7578,-0.0306,-0.5592,-0.9903
rose,floral,-0.1292,0.6352,0.3617,-0.054
violet,floral,-0.7504,0.1649,-0.5875,-0.7856
allspice,spice,-0.5158,-0.345,-0.8057,-0.3409
anise,spice,0.6848,0.7462,0.4432,0.6822
aniseed,spice,0.3633,0.0556,0.197,0.2576
caraway,spice,0.0663,0.2457,-0.1393,-0.0019
cardamom,spice,-0.2777,0.1815,-0.2631,-0.4453
coriander,spice,0.3798,0.509,0.3715,-0.239
pepper,spice,0.1802,-0.2734,-0.1046,-0.1609
peppery,spice,0.2622,0.0638,0.1556,0.0245
antiseptic,peat,-0.1065,-0.3722,-0.1043,-0.7621
ash,peat,0.0911,-0.5691,0.2691,-0.4185
ashy,peat,-0.228,-0.504,0.0573,-0.3884
bandage,peat,0.1185,-0.059,0.2127,-0.6381
barbecue,peat,-0.2712,0.1071,-0.3908,-0.9512
bbq,peat,0.1061,0.1502,-0.3838,-0.5444
bonfire,peat,-0.1567,-0.2547,-0.0029,-0.7697
brine,peat,0.1852,-0.498,0.372,-0.4223
campfire,peat,0.0449,0.1946,-0.038,-0.5227
charcoal,peat,-0.1799,-0.332,-0.2945,-0.6615
coal,peat,0.1034,-0.1097,0.0406,-0.3189
coastal,peat,0.5167,0.3187,0.9966,0.1424
creosote,peat,0.1662,0.1507,0.1892,-0.5565
diesel,peat,0.2766,-0.1138,-0.1284,-0.7098
engine_oil,peat,0.2873,0.1108,0.0761,-0.6021
grilled,peat,-0.218,-0.2696,-0.2408,-0.8716
iodine,peat,0.3527,-0.0931,0.3485,-0.3427
kelp,peat,0.1723,-0.0708,0.4664,-0.3809
kipper,peat,0.3053,-0.2758,0.412,-0.4652
lamp_oil,peat,0.3341,-0.0294,0.1914,-0.2071
maritime,peat,0.2512,0.0743,0.9131,-0.123
medicinal,peat,0.0107,0.2386,0.4065,-0.2439
oyster,peat,0.2133,-0.2207,0.4433,-0.4335
peat,peat,0.0236,0.1371,0.2491,-0.0778
peat_smoke,peat,0.2349,0.1524,0.835,-0.1389
peaty,peat,0.1826,0.0792,0.4464,0.0994
phenolic,peat,0.1895,0.5004,0.443,-0.0476
saline,peat,0.5273,0.2169,0.8919,0.1196
salt,peat,0.3338,-0.2884,0.4451,-0.1348
salty,peat,0.3958,0.0325,0.3817,0.0707
sea_air,peat,0.2774,-0.2895,0.4495,-0.0341
seaweed,peat,0.3688,-0.242,0.4594,-0.2912
shellfish,peat,0.3852,0.1961,0.5411,-0.3969
smoke,peat,-0.0515,-0.3632,0.0894,-0.4286
smoky,peat,-0.1093,-0.2983,0.0537,-0.1688
soot,peat,0.1623,-0.1138,-0.0736,-0.1754
tar,peat,0.4206,0.187,0.375,-0.1288
tcp,peat,0.3208,0.0475,0.6449,-0.1698
almond,sherry,0.2083,-0.2519,0.4088,-0.3739
amontillado,sherry,0.0325,-0.2064,-0.1514,0.4122
antique,sherry,0.4332,1.1803,0.5542,0.4174
balsamic,sherry,0.4054,0.4184,0.1808,0.1767
berry,sherry,0.1127,0.1135,-0.1365,-0.4467
blackberry,sherry,0.0245,0.2903,-0.0754,-0.1046
blackcurrant,sherry,-0.1761,-0.1956,-0.4941,-0.4559
blueberry,sherry,-0.0608,0.027,-0.1332,-0.2305
bodega,sherry,0.1689,0.0839,-0.2908,0.4637
cedar,sherry,0.3046,0.7579,0.5665,0.0307
chestnut,sherry,0.0462,0.483,0.105,0.1556
cigar,sherry,0.5101,0.2522,0.1599,0.0225
cocoa,sherry,0.0361,0.0338,-0.3938,0.0284
cranberry,sherry,-0.2244,0.0598,-0.1123,-0.6856
date,sherry,0.0963,0.8143,0.2303,0.476
dried_citrus,sherry,0.8683,1.0361,1.0223,0.5115
dried_fig,sherry,0.2187,0.6203,0.5247,0.4191
dried_fruit,sherry,0.2329,1.1994,0.5693,0.3974
fig,sherry,0.1637,0.8773,0.3253,0.3684
fino,sherry,0.0372,-0.2202,-0.3272,-0.0921
fruitcake,sherry,-0.1851,0.8166,0.2034,0.3764
gooseberry,sherry,-0.1108,-0.5128,0.2228,-0.3077
hazelnut,sherry,0.0418,0.4183,0.7408,0.4397
jerez,sherry,0.0009,-0.2619,-0.5432,0.1935
leather,sherry,0.2702,0.2372,0.0232,-0.2873
manzanilla,sherry,0.0879,-0.3154,0.0805,0.0295
marzipan,sherry,0.1177,-0.0153,0.3788,-0.0105
mocha,sherry,-0.0042,-0.0135,-0.2023,0.2473
nougat,sherry,-0.1841,0.0141,0.3734,0.3727
old_book,sherry,0.0619,0.2784,-0.0345,-0.3091
oloroso,sherry,-0.0214,0.1235,-0.0455,0.4427
pipe_tobacco,sherry,0.1757,0.665,0.1365,0.0386
prune,sherry,0.2805,0.7667,0.2296,0.2948
px,sherry,-0.5997,0.0553,-0.3311,-0.0286
raisin,sherry,0.0115,0.4134,0.0327,0.247
rancio,sherry,0.6033,0.6654,0.5055,0.5798
raspberry,sherry,-0.3007,-0.0446,-0.3302,-0.388
red_berry,sherry,-0.2012,0.1814,-0.138,-0.1835
redcurrant,sherry,-0.262,0.2051,-0.2555,-0.5727
sherry,sherry,0.0604,0.2771,0.1235,0.4406
solera,sherry,-0.1703,0.0861,-0.0663,0.1841
strawberry,sherry,-0.2494,0.0777,-0.3058,-0.3633
sultana,sherry,0.251,0.6193,0.4511,0.4313
toffee,sherry,-0.1983,0.1698,0.1734,0.2913
treacle,sherry,0.2759,0.565,0.6429,0.6003
walnut,sherry,0.25,0.1439,0.0896,0.2494
caramel,oak,-0.5959,0.0067,-0.3253,-0.1406
coconut,oak,-0.4415,0.1056,-0.193,-0.5319
oak,oak,-0.4742,0.1231,-0.4941,-0.4043
pencil_shavings,oak,-0.4339,0.0203,-0.5507,-0.8579
pine,oak,0.1858,0.3531,0.2712,-0.1261
resin,oak,0.5687,0.6749,0.6646,0.2117
sandalwood,oak,0.6954,0.302,0.9187,-0.015
sawdust,oak,-1.0445,-0.4833,-0.7592,-0.9318
tannin,oak,-0.4073,0.3142,-0.5069,-0.3929
toast,oak,0.0363,-0.2703,0.1114,0.2348
toasty,oak,0.2314,0.4063,0.5458,0.5578
vanilla,oak,-0.4284,-0.2742,0.0765,-0.207
wood,oak,0.0668,0.0004,-0.0346,-0.1501
woody,oak,-0.6968,0.3398,-0.66,-0.6298
austere,texture,-0.3089,-0.9174,-0.0169,-0.1181
buttery,texture,-0.3452,-0.1977,-0.0377,-0.1045
chewy,texture,0.1492,0.1551,0.302,0.2854
coating,texture,-0.3054,-0.0385,0.1539,0.0062
oily,texture,0.377,0.2089,0.5125,0.0591
round,texture,-0.0935,0.0833,0.2608,0.1308
silky,texture,0.6501,0.6865,1.3129,0.5535
smooth,texture,-0.4739,0.3444,0.8162,0.3533
soft,texture,0.1314,0.1922,0.521,0.6614
spirity,texture,-1.2219,-1.0504,-1.1036,-1.0743
syrupy,texture,-0.0167,0.5417,0.691,0.2334
thick,texture,0.1795,0.3271,0.3694,0.3053
thin,texture,-0.9242,-0.3291,-0.3161,-0.2986
waxy,texture,0.3291,0.5101,0.5474,0.1317
cereal,mineral,-0.0414,-0.3749,0.3399,-0.0113
chalk,mineral,0.2082,-0.6835,0.0304,-0.3422
clay,mineral,0.1715,-0.4596,0.0232,-0.4513
cracker,mineral,0.012,-0.5083,0.1537,-0.2605
damp,mineral,0.1025,-0.2037,-0.0412,-0.0794
earth,mineral,0.3278,-0.0428,0.1545,0.2145
farmy,mineral,-0.1559,0.012,-0.1095,-0.3882
farmyard,mineral,0.4102,-0.0075,0.2069,-0.1462
flint,mineral,0.3798,-0.4067,0.2298,-0.3291
grass,mineral,-0.2973,-0.6607,-0.1111,-0.4678
gravel,mineral,0.0964,-0.4788,-0.1248,-0.5639
green,mineral,0.0633,-0.2934,0.123,-0.3094
hay,mineral,-0.241,-0.4015,0.041,0.0112
leafy,mineral,-0.3115,-0.0379,-0.1782,0.079
limestone,mineral,0.4221,-0.404,0.1628,-0.2175
mineral,mineral,0.6419,0.1101,0.7206,0.1101
mushroom,mineral,0.4748,0.5514,0.2208,0.0508
slate,mineral,0.3018,-0.5045,0.2079,-0.3156
truffle,mineral,0.2387,0.3583,-0.082,-0.3998
vegetal,mineral,-0.1469,0.1413,0.0285,-0.1843
acetic,flaw,-0.8145,-0.7347,-0.7388,-1.005
acetone,flaw,-0.8356,-0.7637,-0.7347,-1.4149
acrid,flaw,-0.8514,-0.7644,-0.8339,-1.0991
burnt,flaw,-0.663,-0.4632,-0.9433,-0.9991
burnt_rubber,flaw,-0.5985,-0.4869,-0.7228,-1.0264
cardboard,flaw,-1.1613,-0.7814,-1.1752,-1.3061
chemical,flaw,-1.1997,-0.4186,-1.5042,-2.0727
feinty,flaw,-1.7419,-0.9184,-1.3829,-1.5108
furniture_polish,flaw,0.3655,0.7543,0.9182,0.3278
glue,flaw,-0.7903,-0.0246,-0.8854,-1.5138
plastic,flaw,-0.7654,-0.5803,-1.1694,-2.0842
rotten,flaw,-0.9887,0.0065,-1.0285,-1.1366
rubber,flaw,-0.4714,-0.3976,-0.6891,-1.3563
soap,flaw,-0.6971,-0.5429,-0.7552,-1.3914
solvent,flaw,-0.1507,-0.2209,-0.2997,-0.726
stale,flaw,-1.3769,-0.6258,-1.37,-1.3905
wet_cardboard,flaw,-0.2403,-0.6477,-0.3491,-0.5008
balanced,structure,0.1743,0.1277,1.3954,0.5288
boring,structure,-1.0073,-0.5905,-0.5054,-0.4987
coherent,structure,-0.2313,-0.2229,0.8439,0.009
complex,structure,0.3332,0.8286,1.2291,0.43
consistent,structure,0.0079,-0.0853,0.6323,0.1302
deep,structure,0.0133,1.0532,0.2163,0.3964
elegant,structure,0.621,0.3637,1.5723,0.8133
evolving,structure,0.5549,1.4368,1.0224,0.2647
fade,structure,-0.4109,0.4221,-0.2996,-0.6228
flat,structure,-0.8909,-0.5623,-0.7019,-0.8182
focused,structure,-0.0439,-0.2595,0.5415,0.2374
harmonious,structure,0.9765,0.5907,1.6526,0.7598
integrated,structure,0.059,0.3288,0.9855,0.0114
intricate,structure,0.6748,1.126,1.1008,0.4125
layered,structure,0.8269,1.3101,1.2362,0.4514
lingering,structure,0.62,0.0843,0.4575,0.392
narrow,structure,-0.5877,-1.4473,0.1722,-0.4036
persistent,structure,0.7503,0.441,0.6339,0.3453
precise,structure,0.5673,-0.3226,1.244,0.2679
quick,structure,-0.2018,-0.1645,-0.372,-0.3059
refined,structure,0.6175,0.4236,1.6766,0.8543
rough,structure,-0.7187,-1.1992,-1.1831,-0.764
simple,structure,-0.3632,-1.3534,0.5326,0.1022
straightforward,structure,0.0865,-1.167,0.8995,0.4973
structured,structure,0.4591,0.2413,1.1373,0.3797
unbalanced,structure,-1.1213,-0.5579,-0.9681,-1.0238
well_balanced,structure,0.2873,0.1871,1.0548,0.7472
well_integrated,structure,0.2297,0.1963,0.6389,0.1838
awful,eval,-0.5465,-0.2796,-0.5504,-0.5836
beautiful,eval,1.1321,0.6184,1.0875,0.717
brilliant,eval,0.8508,-0.0613,0.1663,0.156
delicious,eval,0.7988,-0.0016,1.1588,0.898
disappointing,eval,-0.9207,-1.0819,-0.7982,-0.4607
excellent,eval,0.8605,-0.2101,0.322,0.3916
fantastic,eval,0.6452,0.1153,0.2313,0.1964
good,eval,0.1227,-0.4196,-0.0961,0.1429
great,eval,0.7287,-0.0906,0.1103,0.3267
impressive,eval,1.008,0.4084,0.82,0.3917
marvellous,eval,1.0673,0.3083,0.4295,0.5557
outstanding,eval,1.3883,0.7909,0.9087,0.9357
perfect,eval,0.943,-0.3244,0.4687,0.486
pleasant,eval,-0.3296,-0.2702,0.224,-0.1598
poor,eval,-1.0267,-0.7461,-0.6312,-0.388
remarkable,eval,0.5283,0.4532,0.6222,0.1851
superb,eval,1.126,0.1542,0.4425,0.3973
terrible,eval,-0.8993,-0.1056,-0.8434,-0.5264
weak,eval,-1.7799,-0.2549,-0.6331,-0.7082
wonderful,eval,1.0448,0.4525,0.5155,0.5038
