anchor,rank,neighbor,similarity,neighbor_category
waxy,1,oily,0.6667,texture
waxy,2,wax,0.6489,—
waxy,3,mineral,0.6463,mineral
waxy,4,persistently,0.6386,—
waxy,5,resurgent,0.6252,—
waxy,6,thready,0.6246,—
waxy,7,stony,0.6184,—
waxy,8,waxiness,0.6127,—
waxy,9,lemon_scented,0.612,—
waxy,10,sharpish,0.6052,—
rancio,1,bois,0.6492,—
rancio,2,earthen,0.6322,—
rancio,3,fin,0.6267,—
rancio,4,iberico,0.6152,—
rancio,5,mulch,0.6028,—
rancio,6,balsamic,0.5999,sherry
rancio,7,cured,0.5993,—
rancio,8,vors,0.5953,—
rancio,9,dark_fruit,0.5902,—
rancio,10,treacle,0.5796,sherry
tropical_fruit,1,mango,0.729,fruit
tropical_fruit,2,exotic,0.6831,—
tropical_fruit,3,guava,0.6487,—
tropical_fruit,4,passionfruit,0.6423,—
tropical_fruit,5,passion_fruit,0.6396,fruit
tropical_fruit,6,papaya,0.6312,—
tropical_fruit,7,fruit,0.5842,—
tropical_fruit,8,tropical,0.5741,—
tropical_fruit,9,topical,0.542,—
tropical_fruit,10,maracuja,0.5314,—
peat,1,peat_smoke,0.6955,peat
peat,2,smoke,0.5942,peat
peat,3,phenol,0.5873,—
peat,4,grizzly,0.5589,—
peat,5,wispy,0.5419,—
peat,6,orcadian,0.5417,—
peat,7,peatiness,0.5407,—
peat,8,ember,0.5311,—
peat,9,peaty,0.5192,peat
peat,10,germoline,0.514,—
medicinal,1,medical,0.7227,—
medicinal,2,camphory,0.6738,—
medicinal,3,gauze,0.6414,—
medicinal,4,phenolic,0.6192,peat
medicinal,5,peaty,0.6105,peat
medicinal,6,tarry,0.6088,—
medicinal,7,bandage,0.6056,peat
medicinal,8,sooty,0.6021,—
medicinal,9,mouthwash,0.5983,—
medicinal,10,antiseptic,0.5977,peat
mineral,1,stony,0.7081,—
mineral,2,flinty,0.6996,—
mineral,3,lemon_scented,0.6842,—
mineral,4,sooty,0.6793,—
mineral,5,chiseled,0.6688,—
mineral,6,sinewed,0.6551,—
mineral,7,pebble,0.6473,—
mineral,8,glistening,0.6465,—
mineral,9,waxy,0.6463,texture
mineral,10,inky,0.6433,—
sulphur,1,gunpowder,0.6483,—
sulphur,2,sulphury,0.6391,—
sulphur,3,gas,0.6311,—
sulphur,4,hard_boiled,0.6095,—
sulphur,5,cabbage,0.6041,—
sulphur,6,match,0.6008,—
sulphur,7,sulphurous,0.599,—
sulphur,8,rotten,0.5789,flaw
sulphur,9,rubber,0.5728,flaw
sulphur,10,struck,0.5514,—
rubber,1,band,0.6759,—
rubber,2,inner,0.6432,—
rubber,3,bicycle,0.6238,—
rubber,4,eraser,0.6043,—
rubber,5,welly,0.6038,—
rubber,6,tyre,0.5944,—
rubber,7,tube,0.5798,—
rubber,8,sulphur,0.5728,—
rubber,9,solvent,0.5641,flaw
rubber,10,leatherette,0.5631,—
cardboard,1,stale,0.6564,flaw
cardboard,2,dust,0.6031,—
cardboard,3,feint,0.572,—
cardboard,4,dustiness,0.5663,—
cardboard,5,wet_cardboard,0.5613,flaw
cardboard,6,teaish,0.5464,—
cardboard,7,tealeaves,0.5441,—
cardboard,8,fleeting,0.5436,—
cardboard,9,newspaper,0.5432,—
cardboard,10,cardboardy,0.5428,—
sherry,1,oloroso,0.6595,sherry
sherry,2,sherry_cask,0.6517,—
sherry,3,sherriness,0.5882,—
sherry,4,px,0.5709,sherry
sherry,5,oxidative,0.5707,—
sherry,6,tobacco_ish,0.5645,—
sherry,7,amontillado,0.5449,sherry
sherry,8,oloroso_ish,0.5392,—
sherry,9,seco,0.5387,—
sherry,10,vors,0.5345,—
oak,1,freshish,0.5886,—
oak,2,rejuvenated,0.5829,—
oak,3,sawdust,0.5828,oak
oak,4,european,0.579,—
oak,5,plank,0.5705,—
oak,6,active,0.564,—
oak,7,charring,0.5623,—
oak,8,american,0.5547,—
oak,9,oaky,0.5462,—
oak,10,str,0.5462,—
balanced,1,constructed,0.6164,—
balanced,2,miraculously,0.5877,—
balanced,3,structured,0.5782,structure
balanced,4,easy_going,0.578,—
balanced,5,integrated,0.578,structure
balanced,6,well_balanced,0.5669,structure
balanced,7,silky,0.5525,texture
balanced,8,stylish,0.5516,—
balanced,9,astoundingly,0.5509,—
balanced,10,sippable,0.5308,—
complex,1,astoundingly,0.6496,—
complex,2,detailed,0.6245,—
complex,3,profoundly,0.623,—
complex,4,elegant,0.616,structure
complex,5,expressive,0.6108,—
complex,6,structured,0.5996,structure
complex,7,aromatically,0.5992,—
complex,8,outrageously,0.588,—
complex,9,seductive,0.5851,—
complex,10,refined,0.5823,structure
thin,1,weakish,0.4909,—
thin,2,weak,0.4905,eval
thin,3,frustrating,0.4871,—
thin,4,flat,0.4621,structure
thin,5,tea_ish,0.4544,—
thin,6,tiny_wee,0.4513,—
thin,7,whisper,0.4506,—
thin,8,meady,0.4445,—
thin,9,nosedive,0.4443,—
thin,10,molassy,0.4439,—
