sample,variable,b_unstandardized,robust_se_hc1,ci_low,ci_high,t_hc1,p_hc1,n,adj_r2_descriptive
All reviews,fruit_review_text_per1k,0.0393031417278732,0.003123693481521814,0.03318081500534791,0.045425468450398486,12.582265821013056,2.6433769308256717e-36,11149,0.28909032403479396
All reviews,floral_review_text_per1k,0.03290170225938786,0.009495256078259589,0.014291342322014032,0.051512062196761695,3.465067396625548,0.0005300986148750081,11149,0.28909032403479396
All reviews,spice_review_text_per1k,-0.017846665999738456,0.007010433685771643,-0.03158686353985726,-0.004106468459619648,-2.5457292372596005,0.01090497366845407,11149,0.28909032403479396
All reviews,peat_review_text_per1k,0.06386956321180853,0.0023502466961862344,0.059263164332499264,0.06847596209111781,27.17568471235391,1.2591057926251566e-162,11149,0.28909032403479396
All reviews,sherry_review_text_per1k,0.04415667089810616,0.002714079095975236,0.03883717361880167,0.04947616817741065,16.269485647484263,1.62517146554e-59,11149,0.28909032403479396
All reviews,oak_review_text_per1k,-0.04369841154331876,0.0048247736982076845,-0.05315479422536194,-0.03424202886127557,-9.05709039981542,1.3397655591286994e-19,11149,0.28909032403479396
All reviews,texture_review_text_per1k,0.06233299050605749,0.007311721946034397,0.04800227882685896,0.07666370218525603,8.525076714639644,1.5270857545909874e-17,11149,0.28909032403479396
All reviews,mineral_review_text_per1k,0.010978423202932477,0.004060718605197943,0.0030195609853927875,0.01893728542047217,2.703566602443098,0.006859969868240092,11149,0.28909032403479396
All reviews,flaw_review_text_per1k,-0.33153857015438165,0.024090799724682147,-0.3787556699735261,-0.2843214703352372,-13.762040859718946,4.31180726545002e-43,11149,0.28909032403479396
All reviews,structure_review_text_per1k,0.036520563215175494,0.008552935745665374,0.01975711719158613,0.05328400923876486,4.26994476530285,1.9552138239015987e-05,11149,0.28909032403479396
All reviews,eval_review_text_per1k,0.09417138715555372,0.00456674315508573,0.08522073504494088,0.10312203926616656,20.62112625070237,1.773809285738263e-94,11149,0.28909032403479396
All reviews,wordcount_review_text,0.03494081741792478,0.0009052555242874666,0.033166549193515416,0.03671508564233414,38.597740063974705,0.0,11149,0.28909032403479396
