category,Quality_Defect_proj,Quality_Defect_n,Complexity_Simplicity_proj,Complexity_Simplicity_n,Balance_Imbalance_proj,Balance_Imbalance_n,Natural_Artificial_proj,Natural_Artificial_n
fruit,0.0684548441786319,25,0.0007680550776422024,25,0.07864737790077925,25,-0.06301842882181517,25
floral,0.013401176987422837,9,0.08568529515630668,9,0.08370581020911534,9,-0.04340136925586396,9
spice,0.08519935770891607,8,0.030059306183829904,8,-0.03522615437395871,8,-0.05396380239108112,8
peat,0.08098575133389156,38,-0.030126960669325565,38,0.07261092554606301,38,-0.13957948796451092,38
sherry,0.04905136240868951,46,0.08324526295916218,46,0.012893596783017172,46,-0.012055734557140133,46
oak,-0.017513867733733996,14,0.028325784618833234,14,-0.04189635839845453,14,-0.1191891748458147,14
texture,0.012653944082558155,14,0.0077298106625676155,14,0.09801088045683823,14,-0.037491169973061636,13
mineral,0.08732323753647506,20,-0.09299294365337119,20,0.043171400716528294,20,-0.08456517066806554,20
flaw,-0.1887158341705799,17,-0.15145070192246587,17,-0.23889201967155232,17,-0.3597497344017029,13
structure,0.0734613189207656,28,-0.009516308968886732,20,0.17726219370961188,20,-0.013748006595830833,28
eval,0.1621657026310762,9,-0.040460869949311015,20,0.032663657888770105,20,0.011945870425552129,20
