Category,Peated_mean,Other_mean,Diff,Cohen_d,t_p,sig,Group,Sherried_mean,Bourbon_mean,HighScore_mean,LowScore_mean
fruit,13.94,19.02,-5.08,-0.4,0.0,***,Peated,,,,
peat,31.83,3.13,28.7,2.571,0.0,***,Peated,,,,
sherry,7.16,10.11,-2.95,-0.241,0.0,***,Peated,,,,
oak,5.17,8.01,-2.83,-0.311,0.0,***,Peated,,,,
texture,10.91,9.23,1.68,0.171,0.0,***,Peated,,,,
mineral,11.01,12.87,-1.86,-0.154,0.0,***,Peated,,,,
flaw,2.89,3.32,-0.43,-0.071,0.0009,***,Peated,,,,
structure,3.52,3.1,0.42,0.082,0.0002,***,Peated,,,,
eval,10.26,10.37,-0.11,-0.012,0.5969,,Peated,,,,
fruit,,18.13,-1.51,-0.113,0.0,***,Sherried,16.62,,,
peat,,11.2,-3.61,-0.259,0.0,***,Sherried,7.59,,,
sherry,,3.23,24.67,2.613,0.0,***,Sherried,27.9,,,
oak,,7.19,0.45,0.046,0.0364,*,Sherried,7.63,,,
texture,,9.57,0.34,0.036,0.1027,,Sherried,9.91,,,
mineral,,13.51,-4.45,-0.382,0.0,***,Sherried,9.06,,,
flaw,,3.14,0.31,0.05,0.0232,*,Sherried,3.45,,,
structure,,3.15,0.25,0.049,0.0261,*,Sherried,3.39,,,
eval,,10.4,-0.26,-0.028,0.1938,,Sherried,10.15,,,
fruit,,17.35,3.51,0.245,0.0,***,Bourbon,,20.86,,
peat,,10.51,-1.89,-0.125,0.0,***,Bourbon,,8.63,,
sherry,,10.51,-9.96,-1.052,0.0,***,Bourbon,,0.55,,
oak,,5.49,15.82,1.68,0.0,***,Bourbon,,21.31,,
texture,,9.69,-0.3,-0.032,0.2794,,Bourbon,,9.38,,
mineral,,12.35,0.43,0.033,0.2677,,Bourbon,,12.78,,
flaw,,3.27,-0.46,-0.076,0.0075,**,Bourbon,,2.81,,
structure,,3.19,0.13,0.025,0.4237,,Bourbon,,3.32,,
eval,,10.34,-0.02,-0.002,0.9574,,Bourbon,,10.33,,
fruit,,18.22,-1.75,-0.132,0.0,***,HighScore,,,16.47,
peat,,8.57,6.53,0.42,0.0,***,HighScore,,,15.1,
sherry,,9.27,0.39,0.03,0.1542,,HighScore,,,9.66,
oak,,8.08,-2.94,-0.331,0.0,***,HighScore,,,5.14,
texture,,9.39,0.99,0.101,0.0,***,HighScore,,,10.38,
mineral,,13.42,-3.85,-0.325,0.0,***,HighScore,,,9.57,
flaw,,3.75,-2.01,-0.363,0.0,***,HighScore,,,1.73,
structure,,2.96,0.92,0.179,0.0,***,HighScore,,,3.89,
eval,,9.97,1.38,0.15,0.0,***,HighScore,,,11.36,
fruit,,17.93,-5.49,-0.447,0.0,***,LowScore,,,,12.44
peat,,10.49,-6.06,-0.502,0.0,***,LowScore,,,,4.44
sherry,,9.52,-4.53,-0.416,0.0,***,LowScore,,,,4.99
oak,,7.24,1.84,0.159,0.0092,**,LowScore,,,,9.08
texture,,9.76,-3.41,-0.393,0.0,***,LowScore,,,,6.35
mineral,,12.35,1.78,0.131,0.0217,*,LowScore,,,,14.13
flaw,,2.92,9.23,0.905,0.0,***,LowScore,,,,12.14
structure,,3.23,-0.63,-0.126,0.0169,*,LowScore,,,,2.6
eval,,10.47,-3.97,-0.487,0.0,***,LowScore,,,,6.49
