,Coefficient,SE,t,p,sig,Coef (SE)
Intercept,78.71434967937881,0.2934834196472916,268.20714360619667,0.0,***,78.714*** (0.293)
C(review_year)[T.2013],0.16425612493647843,0.2492349789690306,0.659041221324269,0.509882938930893,,0.164 (0.249)
C(review_year)[T.2014],0.643644127973662,0.24698919507775924,2.605960668728948,0.00917390516613154,**,0.644** (0.247)
C(review_year)[T.2015],-0.13745243884045036,0.25349317693242734,-0.5422332881057801,0.5876686667778882,,-0.137 (0.253)
C(review_year)[T.2016],0.7658611141016243,0.26076495431957936,2.9369786906373414,0.0033210619128698567,**,0.766** (0.261)
C(review_year)[T.2017],0.5997638997784549,0.24117351412615043,2.486856411043283,0.012902287623551856,*,0.600* (0.241)
C(review_year)[T.2018],0.4458705274146353,0.23750365747890853,1.877320678542522,0.06050030036446628,,0.446 (0.238)
C(review_year)[T.2019],0.8247793490359616,0.2466559258579969,3.343845667469583,0.0008289856490451773,***,0.825*** (0.247)
C(review_year)[T.2020],0.8093798113489308,0.23694272245490489,3.4159302423942246,0.0006379177522460689,***,0.809*** (0.237)
C(review_year)[T.2021],0.726271645494232,0.2400563157887491,3.025421943629907,0.0024885356674688615,**,0.726** (0.240)
C(review_year)[T.2022],1.1969644748009847,0.2487433711588436,4.812045720955603,1.5135635982549282e-06,***,1.197*** (0.249)
C(review_year)[T.2023],1.312894889408708,0.23708199097354363,5.537725088343873,3.133837595930199e-08,***,1.313*** (0.237)
C(review_year)[T.2024],1.08755231491304,0.2364323711698133,4.599845230718957,4.274735467900558e-06,***,1.088*** (0.236)
C(review_year)[T.2025],1.7252634984590427,0.2386783958631939,7.228402437596121,5.2073840680326e-13,***,1.725*** (0.239)
fruit_review_text_per1k,0.032229613935670684,0.0033646114949557925,9.579000126460112,1.1876026236601576e-21,***,0.032*** (0.003)
peat_review_text_per1k,0.060220041275331856,0.003000923167912585,20.067171968691348,5.107152492445786e-88,***,0.060*** (0.003)
sherry_review_text_per1k,0.038645642612125455,0.0034587204842412215,11.173392816275404,7.835336415663424e-29,***,0.039*** (0.003)
oak_review_text_per1k,-0.05563257559446426,0.004495869739796514,-12.374152013795271,6.121009357735071e-35,***,-0.056*** (0.004)
texture_review_text_per1k,0.030393511388215787,0.00459011204391886,6.621518406828907,3.719042619720551e-11,***,0.030*** (0.005)
mineral_review_text_per1k,-0.025722590343379544,0.003631949492536033,-7.0823094859225515,1.5032741831836657e-12,***,-0.026*** (0.004)
flaw_review_text_per1k,-0.22132350492974062,0.007129174923405563,-31.04475725558656,5.241916161930904e-203,***,-0.221*** (0.007)
structure_review_text_per1k,0.02913683091643627,0.008599389003192395,3.3882443166159426,0.00070585552439236,***,0.029*** (0.009)
eval_review_text_per1k,0.09525628616211279,0.0048660773953208775,19.57557975828936,6.396437529106472e-84,***,0.095*** (0.005)
review_length,0.030719562864064125,0.0009338000956763727,32.89736529938268,1.3781656182783147e-226,***,0.031*** (0.001)
