term,category,Quality_Defect_proj,Complexity_Simplicity_proj,Balance_Imbalance_proj,Natural_Artificial_proj
aniseed,fruit,0.4281,0.1116,0.2438,0.1626
apple,fruit,-0.3328,-0.446,0.0595,-0.1342
apricot,fruit,-0.2938,0.3877,0.433,-0.1322
banana,fruit,-0.1064,0.113,0.173,-0.2657
blackberry,fruit,-0.2168,0.3437,-0.2623,-0.5054
cherry,fruit,-0.1455,0.0448,-0.3587,-0.2754
cinnamon,fruit,-0.2852,0.1426,-0.3874,-0.0111
citrus,fruit,0.2962,0.2949,0.4852,0.1035
citrus_fruit,fruit,0.3165,0.7393,0.5392,-0.0212
clove,fruit,0.209,0.482,-0.0237,0.0042
date,fruit,0.4438,0.7902,0.6197,0.4958
dried_fruit,fruit,-0.0359,1.0968,0.3757,0.2368
floral,fruit,-0.2085,0.2623,0.458,0.1802
ginger,fruit,-0.3478,-0.0343,-0.4961,-0.4034
grapefruit,fruit,0.1181,-0.0297,0.0574,-0.3339
heather,fruit,0.1656,0.3316,0.5739,0.6022
honey,fruit,0.1376,0.182,0.3771,0.2684
jam,fruit,-0.1792,0.6277,0.2036,-0.2007
lavender,fruit,-0.7518,0.0671,-0.6543,-0.9635
lemon,fruit,0.0898,-0.5116,0.2271,-0.3112
lemon_peel,fruit,0.0939,0.1559,0.295,-0.235
lemon_zest,fruit,-0.3111,-0.751,-0.1388,-0.3469
lime,fruit,0.2916,-0.2317,0.144,-0.2459
lychee,fruit,0.2499,0.2814,0.4876,0.233
mango,fruit,-0.0017,0.5537,0.2211,-0.1661
marmalade,fruit,-0.0213,0.3972,0.0648,-0.1588
mint,fruit,0.2783,0.3715,0.1662,-0.1257
nutmeg,fruit,-0.0105,0.1023,-0.2613,-0.0559
orange,fruit,-0.0731,0.2676,0.0639,-0.1165
orange_peel,fruit,0.0199,0.5413,0.123,-0.0815
orchard_fruit,fruit,-0.2293,-0.3137,0.5967,0.0635
passion_fruit,fruit,-0.1406,0.2943,0.3309,-0.5246
peach,fruit,0.1414,-0.1053,0.2897,-0.1871
pear,fruit,-0.1492,-0.3271,0.0738,-0.1345
pineapple,fruit,-0.3302,-0.2149,0.0127,-0.3813
plum,fruit,-0.0369,0.0914,0.2375,0.0228
prune,fruit,0.1345,0.7484,0.4265,0.0517
raspberry,fruit,-0.2805,0.0665,-0.4722,-0.6998
rose,fruit,-0.2784,0.3596,-0.1232,-0.3762
stone_fruit,fruit,0.6652,0.1171,0.7229,0.4232
strawberry,fruit,-0.2162,0.1831,-0.2278,-0.44
tropical_fruit,fruit,0.0712,0.4628,0.3155,-0.1033
antiseptic,peat,-0.1196,-0.3484,0.2527,-0.4973
ash,peat,0.0102,-0.5544,-0.0916,-0.5046
bandage,peat,-0.0007,-0.3325,0.1471,-0.4321
bonfire,peat,-0.1142,-0.1638,0.4026,-0.2677
brine,peat,0.1772,-0.132,0.2344,-0.5404
charcoal,peat,-0.1163,-0.5167,-0.2674,-0.8245
coal,peat,0.1036,-0.1483,0.2722,-0.2361
coastal,peat,0.3725,0.21,0.7921,0.4874
creosote,peat,0.0372,-0.158,0.2915,-0.2717
diesel,peat,0.1833,-0.0581,0.0461,-0.6743
engine_oil,peat,0.1064,0.061,-0.1187,-0.8747
grilled,peat,-0.1222,0.073,-0.268,-0.7443
iodine,peat,0.2337,0.0674,0.4893,-0.1448
kelp,peat,-0.0859,-0.031,0.0929,-0.6814
kipper,peat,0.0673,-0.0445,0.1683,-0.6643
lamp_oil,peat,0.3863,0.0563,0.3987,-0.1485
maritime,peat,0.0571,0.0009,0.4168,0.1773
medicinal,peat,-0.0311,0.1958,0.3953,-0.0741
oyster,peat,0.1197,0.0046,0.1123,-0.5377
peat,peat,0.0472,0.3928,0.4162,0.1908
peat_smoke,peat,0.2265,0.6152,0.7897,0.2736
peaty,peat,0.1562,0.0723,0.3509,0.3618
phenolic,peat,-0.0591,0.4062,0.5833,0.1328
saline,peat,0.5055,0.3072,0.6801,0.4031
salt,peat,0.1247,-0.1237,0.1726,-0.3311
salty,peat,0.4108,0.0292,0.0944,0.0188
sea_air,peat,-0.1251,-0.1301,0.3382,-0.2179
seaweed,peat,0.3565,-0.1736,0.3882,-0.5127
shellfish,peat,0.3742,0.3609,0.4744,-0.141
smoke,peat,-0.1124,-0.0414,0.0867,-0.4073
smoky,peat,-0.0063,-0.192,-0.0299,-0.0265
soot,peat,-0.1091,-0.375,-0.0355,-0.543
tar,peat,0.1564,0.4366,0.4695,-0.1893
tcp,peat,0.3384,0.1104,0.4732,-0.0219
almond,sherry,0.139,-0.2181,0.2836,-0.4251
