Variable,Coefficient,Coefficient,t,p
fruit_review_text_per1k,0.0322296139356706,0.032*** (0.003),9.579000126460112,1.1876026236601576e-21
peat_review_text_per1k,0.0602200412753318,0.060*** (0.003),20.067171968691348,5.107152492445786e-88
sherry_review_text_per1k,0.0386456426121254,0.039*** (0.003),11.173392816275404,7.835336415663423e-29
oak_review_text_per1k,-0.0556325755944642,-0.056*** (0.004),-12.374152013795271,6.121009357735071e-35
texture_review_text_per1k,0.0303935113882157,0.030*** (0.005),6.621518406828907,3.719042619720551e-11
mineral_review_text_per1k,-0.0257225903433795,-0.026*** (0.004),-7.082309485922552,1.5032741831836657e-12
flaw_review_text_per1k,-0.2213235049297406,-0.221*** (0.007),-31.04475725558656,5.241916161930903e-203
structure_review_text_per1k,0.0291368309164362,0.029*** (0.009),3.3882443166159426,0.0007058555243923
eval_review_text_per1k,0.0952562861621127,0.095*** (0.005),19.57557975828936,6.3964375291064725e-84
review_length,0.0307195628640641,0.031*** (0.001),32.89736529938268,1.3781656182783147e-226
