whisky_name_raw,review_text,score,review_date,source_url,dedupe_hash
"Macallan ‘Classic Cut 2018’ (51.2%, OB)","Macallan ‘Classic Cut 2018’ (51.2%, OB) More NAS, sadly, but a higher strength, which makes for some wee compensation. Hope this baby will be more satisfying than the pretty weak ‘Rare Cask’ that we tried a few weeks ago. Please note that this is a limited edition (90,000 bottles, right…) Colour: gold. Nose: some green and grassy sherry upfront, with quite some gunpowder and struck matches, and a certain rawness. Green walnuts, bitter oranges, a little fresh thuja wood, a touch of menthol, leaves, just a wee hint of rubber… It’s all a little rustic but I find this pleasant. Some parts remind me of the old 10 C/S, only with less roundness. With water: a little more sulphur, used matches, bitter leaves, raisins and really a lot of oak spices. Woodwork. Mouth (neat): a little heavy on the oak indeed (nutmeg, cinnamon and ginger that suggest European oak), then peppery and orange-y. Seville oranges, walnuts, more leaves, grape pips... Rustic again but not quite brutal. With water: nice, peppery, spicy, dry. Young oloroso, tobacco. It hasn’t got much of the old oranges and chocolate style left, though. Finish: medium, green, spicy, a tad bitter. Comments: a little rough, probably one for the hipflask. SGP:461 - 82 points.",82,2019-05-14,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,1d197eaea10362025b3c562ff408c9471d7f8d55d00e0615056296acff55ab49
"Macallan ‘Classic Cut 2017’ (58.4%, OB)","Macallan ‘Classic Cut 2017’ (58.4%, OB) Higher league, we wouldn’t know yet, but a higher strength for sure. In general, the bottling strengths within these yearly series tend to go down year after year. Pure magic, I suppose. Colour: golden amber. Nose: even rougher than the 2018, but that may be the higher strength indeed. This time we’re finding a little tar and rather more earth, as well as bags of pine needles, eugenol, menthol, pinesap and such. Some raw cocoa powder too, as well as hard-boiled eggs. Not obligatorily a good sign, we agree. The jury’s still out… With water: cherries, nail polish, chocolate, used matches, mushrooms… Mouth (neat): unusual. Varnish at first, then Williams pears (is it that young?), grapefruits, some sulphur again, eating black pipe tobacco… I’m not too sure, I have to say. With water: black tea, tobacco, sulphur, bitter oranges, bitter chocolate, cloves, amontillado, walnut wine… All rather good things, but it’s a tad dissonant. Finish: medium, a notch sweeter, but there’s a bitterness in the aftertaste that’s not very pleasant. Comments: sort of fine, but probably ten times too expensive on the secondary market. I liked the humble 2018 better. SGP:361 - 80 points.",80,2019-05-14,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,5be706b86d2761d5de209ec2d8c1cdcbee698c0d3ef8ecae3e46b56ae340d108
"Macallan 13 yo 1990/2004 (46%, Eilan Gillan, France, sherry/bourbon casks, 190 bottles)","Macallan 13 yo 1990/2004 (46%, Eilan Gillan, France, sherry/bourbon casks, 190 bottles) Eilan Gillan is/was a French brand by cognac firm Leopold Gourmel. They’ve had some good ones. Colour: white wine. Nose: la dolce vita without any sulphur. Quince jelly, a funny touch of tinned sardines or anchovies (no, really), then some butter fudge, Breton butter cookies, sultanas, custard, and simply brioche, with an earthy side. It was a very nice distillate. Mouth: excellent, complex, slightly earthy, yet clean, perhaps just a tad too young (pears and pineapple sweets), unfolding on peaches and melons, as well as some apricot pie (and cheese cake!) Very good, bright, complex, entrancing… Finish: rather long, moderately spicy, with raisin pies and cereals. Ideas of a Mars bar in the aftertaste. Comments: don’t get me wrong, this is not Mona Lisa, it’s just that so much nicer than the rather coarse and slightly disappointing Classic Cuts. You see what a diplomat I am? SGP:551 - 87 points.",87,2019-05-14,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,16ba85dd57563c8df1e4cf9c202087319c1210128a2ef0d2fdca115aa46c66d2
"Macallan 25 yo 1975 (54%, Casa De Vinos, Australia, sherry butt, cask #17113, +/-2000)","Macallan 25 yo 1975 (54%, Casa De Vinos, Australia, sherry butt, cask #17113, +/-2000) In theory, this should just rock. It’s by or for some well-reputed wine and spirits shop and importers in Port Melbourne. Indeed that’s Downunda. Colour: red mahogany. Nose: yeah right, Macallan. Corinth currants, soy sauce, marrow, bay leaves, chocolate, oranges, pipe tobacco, coffee, humus, soot, cigars, a touch of strawberry jam, Demerara sugar… Well it’s just got everything. Proper Macallan at their peak. With water: extra-ordinary. Chestnut honey, raisins, teas and jams, wines, leathers, prunes, old rancio, cognac… This one makes you yodel! Mouth (neat): fantastic. Why don’t they still make them like this? Many raisins, tobaccos, herbal teas, meats, chocolates, liqueurs… And this wee thing I often found in good Macallans: a touch of tamarind jam. With water: not that it would remain totally focused, and perhaps does it have one or two off-notes (maybe a touch of rubber?) but tasting this is like going back to a lovely place where you used to spend your vacations while you were a child. Finish: long, very chocolaty, with notes of old Armagnac, rancio, more raisins, and some wonderful Jamaican coffee. And marmalade, of course. Comments: I am wondering, could they make this style again if they wished, or has that become totally impossible, for any technical reasons? SGP:651 - 93 points.",93,2019-05-14,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,bec90bfa8bce9e6c1f1081234f23146dc1a1126dd7a573a9bbeec1137b01c6d8
"Teaninich 10 yo 2007/2018 (46%, Signatory Vintage, Un-chillfiltered Collection, casks #702719 & 702720)","Teaninich 10 yo 2007/2018 (46%, Signatory Vintage, Un-chillfiltered Collection, casks #702719 & 702720) I know I’m saying this all the time, but I love this wee collection. Colour: white. Well, almost. Nose: good, I’m all for distillate-driven whiskies, but this may have gone a little too far, or it’s lacking thirty extra-years in those exhausted casks. Grass juice, lime peel, bubblegum, nail polish, crushed pine needles, kiwis, concrete… Well, no, actually, this could get very nice on the palate, it may just need a little breathing. Let’s check that… Mouth: pure barley eau-de-vie with pears and apples, and a moderate fatness, rather towards sunflower oil. Notes of ale as well, barley water, a little coffee fudge, shortbread, Smarties… Finish: medium, rather fat, with notes of honey. Sunflower honey, naturally. Sweet maize. Comments: right, this is probably not the Koh-I-Noor of whisky, but it’s a very fine sweet little dram. A very honest one. SGP:641 - 84 points.",84,2019-05-13,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,dd2dc47e0641ce161c26b700450332b5c3b1f13483b345c61775940348d81867
"Teaninich 19 yo 1999/2019 (53%, Claxton’s, bourbon hogshead, cask # 1849-307946, 255 bottles)","Teaninich 19 yo 1999/2019 (53%, Claxton’s, bourbon hogshead, cask # 1849-307946, 255 bottles) Colour: straw. Nose: it’s a rather dry and mineral Teaninich, with notes of green tea and ink at first, then rather dry ale, soot and saltpeter. Quite some paraffin too. With water: raw barley, grist, sourdough, sand, plasticine and rainwater. It’s not a very fruity one. Mouth (neat): much fruitier this time, but rather on acidic apples, fruit stems, then lemon juice and a little angelica. A chalky pepper in the background. With water: opens up like a flower in the morning. Lovely notes of tangerines, grapefruits, apples, all that being coated with a little beeswax and more plasticine. A sweet earthiness. Finish: medium, grassier again, with some bread and some beer in the aftertaste. Comments: close to the barley, very natural. I cannot possibly be against that. SGP:551 - 85 points.",85,2019-05-13,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,8bcd44217785314a15310bae669f70a0f348c8d2b1ae72888120c4ed74963e9f
"Teaninich 34 yo 1983/2018 (46.2%, Berry Bros & Rudd for Shinanoya, Japan, refill hogshead, cask #6729, 252 bottles)","Teaninich 34 yo 1983/2018 (46.2%, Berry Bros & Rudd for Shinanoya, Japan, refill hogshead, cask #6729, 252 bottles) With this wonderful retro label from BBR’s. As for Tokyo’s Shinanoya, the reputation’s high, as you probably know. Colour: straw. Nose: ooh! Shoe polish, metal polish, old copper kettle, old coins, then mead, fresh mushrooms, leather polish, guns, grapefruit marmalade, glazed chestnuts, quince jelly, hawthorn tea, nettle and asparagus soups… Well, what a complex nose! I just love it profoundly. Mouth: exceptional Teaninich, a tad sharp at first, then bizarrely medicinal (aspirin and camphor), then full of teas and ointments, plus jams and marmalades. Waxes and citrus, Wulong tea, a touch of red pepper, a wonderful oily bitterness (olive oil)… This is star. Finish: medium, on pretty much the same flavours. Waxes, citrus, herbs, teas… Comments: a magnificent Teaninich and one of the shining stars in Limburg this year. Grapefruits and waxes? Bingo! SGP:661 - 93 points.",93,2019-05-13,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,0190ce8de635cdca10365a62071174cd05982811b0085dffeedaf18eab890682
"Teaninich 35 yo 1983/2018 (57.5%, Signatory Vintage, 30th Anniversary, refill butt, cask #8070, 575 bottles)","Teaninich 35 yo 1983/2018 (57.5%, Signatory Vintage, 30th Anniversary, refill butt, cask #8070, 575 bottles) What a hit, this series by SigV! Colour: straw. Nose: very different, more restrained, more on sunflower oil and mown lawn, grasses, leaves, concrete and plaster, ink, soot, fresh almonds… In a way we’re closer to Claxton’s than to the Japanese 1983, but that may be a matter of water. With water: it remains a little narrower and more austere, but some perfect notes of mentholy almonds and lemon balm are making their appearance. Some perfect beeswax as well. Mouth (neat): a rather pungent fruitiness, on green apples, raw cider, and even white calvados. A touch of barley syrup around all that, as well as a little white pepper. I think it really needs water indeed. With water: indeed. Some amazing earthy lemons, some ginger, turmeric, touches of peat, oysters, then caraway and cloves, Stolle… I’m just wondering, did these 1983s stem from the A-Side distillery or from the B-Side? I think B-Side was the one they closed for good 1984, and then demolished. Finish: rather long, wonderfully citrusy and earthy. Some limoncello in the aftertaste. Comments: I think I’ll have to learn a bit more about the respective styles of A and B Teaninich. Was this B, a.k.a. Old Teaninich? Or Teaninich’s Brora, if you wish? Exceptional whisky nonetheless. Angus was right about Teaninich! SGP:561 - 91 points.",91,2019-05-13,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,c489a61f31db657fdf7c116113b08c1690e88df595c8a922b03d739ae0976177
"Chairman’s Reserve ‘The Forgotten Casks’ (40%, OB, St. Lucia, +/-2018)","Chairman’s Reserve ‘The Forgotten Casks’ (40%, OB, St. Lucia, +/-2018) It’s always baffled me, that propensity to lose or forget about casks at many distillers’, whether in whisky or in other spirits. But it’s true that that is also any marketing department’s favourite old chestnut. Colour: full gold. Nose: nicely cane-y at first, a tad burnt in a good way, roasted (cakes, nuts), then more floral and fruity. We could mention ylang-ylang, orange blossom, wallflowers, then raspberry ganache and Jaffa cakes. It’s a very nice nose, pretty chocolaty. Mouth: a tad sweeter than expected, but I don’t think it’s been too dosed-up, has it? Pineapple jam, Grand-Marnier, sultanas, heather honey, and quite a lot of fig jam. Please pass the foie gras! Finish: a little short, and that’s the lower strength. Chocolate and coffee, liquorice, a tad liqueury. Comments: pretty much to my liking within this style, but it’s got so many medals at the IWSC, it’s becoming a little suspicious. Oh well, it’s true that this is good rum after all. SGP:640 - 80 points.",80,2019-05-12,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,034a33e7689eb45176716a431342e7016fcf8151587bf4464881fd562364d0d1
"The John Canoe 15 yo (74%, Rum Company ldt. Jamaica for Whiskyteca Giaccone, Italy, +/-1970)","The John Canoe 15 yo (74%, Rum Company ldt. Jamaica for Whiskyteca Giaccone, Italy, +/-1970) Watch this, it is very rare. This one is said to be pure Long Pond. Edoardo Giaccone, a.k.a. Baffo, was a well-known Italian whisky pioneer, but I don’t think everybody knows that he was also a rum connoisseur. Well, was he? Let’s see… Colour: white wine. Nose: take 1/3 sunflower oil, take 1/3 lime juice, take 1/3 petroleum jelly, shake well – you’ve done it. But the strength is probably lethal, water is more than needed… With water: a sugary sweetness coming out, I had believed this was ‘high-ester’ stuff while it gets much lighter once reduced. Having said that it hasn’t lost all of its coastal and brine-y side. Mouth (neat): splendid lemons and gherkin brine at first, but you cannot really drink this, it burns your throat. Of course I tried.",,2019-05-12,https://www.whiskyfun.com/archivemay19-1-Chichibu-Lagavulin-Ardbeg.html,4c13d157ff84bb010f9ee41811b40512a080481b14635e1523eb41ccd3475660
