index_distillery,index_page_url,page_type
Aberfeldy,https://www.whiskyfun.com/Aberfeldy.html,named_scottish_malt_distillery
Aberlour,https://www.whiskyfun.com/Aberlour.html,named_scottish_malt_distillery
Abhainn Dearg,https://www.whiskyfun.com/Abhainn-Dearg.html,named_scottish_malt_distillery
Allt-A-Bhainne,https://www.whiskyfun.com/Allt-A-Bhainne.html,named_scottish_malt_distillery
Ailsa Bay,https://www.whiskyfun.com/various-new-distilleries.html#AilsaBay,named_scottish_malt_section
An Cnoc/Knockdhu,https://www.whiskyfun.com/An-Cnoc-Knockdhu.html,named_scottish_malt_distillery
Annandale,https://www.whiskyfun.com/various-new-distilleries.html#annandale,named_scottish_malt_section
Ardbeg,https://www.whiskyfun.com/Ardbeg.html,named_scottish_malt_distillery
Ardmore,https://www.whiskyfun.com/Ardmore.html,named_scottish_malt_distillery
Ardnahoe,https://www.whiskyfun.com/various-new-distilleries.html#ardnahoe,named_scottish_malt_section
Ardnamurchan,https://www.whiskyfun.com/various-new-distilleries.html#ardnamurchan,named_scottish_malt_section
Arran,https://www.whiskyfun.com/Arran.html,named_scottish_malt_distillery
Auchentoshan,https://www.whiskyfun.com/Auchentoshan.html,named_scottish_malt_distillery
Auchroisk,https://www.whiskyfun.com/Auchroisk.html,named_scottish_malt_distillery
Aultmore,https://www.whiskyfun.com/Aultmore.html,named_scottish_malt_distillery
Balblair,https://www.whiskyfun.com/Balblair.html,named_scottish_malt_distillery
Balmenach,https://www.whiskyfun.com/Balmenach.html,named_scottish_malt_distillery
Balvenie,https://www.whiskyfun.com/Balvenie.html,named_scottish_malt_distillery
Banff,https://www.whiskyfun.com/Banff.html,named_scottish_malt_distillery
Ben Nevis,https://www.whiskyfun.com/Ben-Nevis.html,named_scottish_malt_distillery
Ben Wyvis,https://www.whiskyfun.com/Ben-Wyvis.html,named_scottish_malt_distillery
Benriach,https://www.whiskyfun.com/Benriach.html,named_scottish_malt_distillery
Benrinnes,https://www.whiskyfun.com/Benrinnes.html,named_scottish_malt_distillery
Benromach,https://www.whiskyfun.com/Benromach.html,named_scottish_malt_distillery
Bladnoch,https://www.whiskyfun.com/Bladnoch.html,named_scottish_malt_distillery
Blair Athol,https://www.whiskyfun.com/Blair-Athol.html,named_scottish_malt_distillery
Bowmore,https://www.whiskyfun.com/Bowmore.html,named_scottish_malt_distillery
Braes of Glenlivet,https://www.whiskyfun.com/Braes-of-Glenlivet.html,named_scottish_malt_distillery
Brora,https://www.whiskyfun.com/Brora-Index.html,named_scottish_malt_distillery
Bruichladdich,https://www.whiskyfun.com/Bruichladdich.html,named_scottish_malt_distillery
Bunnahabhain,https://www.whiskyfun.com/Bunnahabhain.html,named_scottish_malt_distillery
Caol Ila,https://www.whiskyfun.com/Caol-Ila.html,named_scottish_malt_distillery
Caperdonich,https://www.whiskyfun.com/Caperdonich.html,named_scottish_malt_distillery
Cardhu,https://www.whiskyfun.com/Cardhu.html,named_scottish_malt_distillery
Clynelish,https://www.whiskyfun.com/Clynelish.html,named_scottish_malt_distillery
Coleburn,https://www.whiskyfun.com/Coleburn.html,named_scottish_malt_distillery
Convalmore,https://www.whiskyfun.com/Convalmore.html,named_scottish_malt_distillery
Cragganmore,https://www.whiskyfun.com/Cragganmore.html,named_scottish_malt_distillery
Craigduff,https://www.whiskyfun.com/Craigduff-Glenisla.html,named_scottish_malt_distillery
Craigellachie,https://www.whiskyfun.com/Craigellachie.html,named_scottish_malt_distillery
Daftmill,https://www.whiskyfun.com/various-new-distilleries.html#daftmill,named_scottish_malt_section
Dailuaine,https://www.whiskyfun.com/Dailuaine.html,named_scottish_malt_distillery
Dallas Dhu,https://www.whiskyfun.com/Dallas-Dhu.html,named_scottish_malt_distillery
